# dmin     dmax       di(bins)
000.010    000.012    000.011
000.012    000.014    000.013
000.014    000.016    000.015
000.016    000.018    000.017
000.018    000.022    000.020
000.022    000.024    000.023
000.024    000.028    000.026
000.028    000.032    000.030
000.032    000.036    000.034
000.036    000.042    000.039
000.042    000.046    000.044
000.046    000.056    000.051
000.056    000.060    000.058
000.060    000.074    000.067
000.074    000.078    000.076
000.078    000.096    000.087
000.096    000.104    000.100
000.104    000.126    000.115
000.126    000.136    000.131
000.136    000.164    000.150
000.164    000.180    000.172
000.180    000.214    000.197
000.214    000.238    000.226
000.238    000.280    000.259
000.280    000.312    000.296
000.312    000.366    000.339
000.366    000.412    000.389
000.412    000.478    000.445
000.478    000.542    000.510
000.542    000.626    000.584
000.626    000.712    000.669
000.712    000.820    000.766
000.820    000.934    000.877
000.934    001.076    001.005
001.076    001.226    001.151
001.226    001.410    001.318
001.410    001.610    001.510
001.610    001.848    001.729
001.848    002.114    001.981
002.114    002.424    002.269
002.424    002.774    002.599
002.774    003.178    002.976
003.178    003.640    003.409
003.640    004.170    003.905
004.170    004.774    004.472
004.774    005.470    005.122
005.470    006.264    005.867
006.264    007.176    006.720
007.176    008.218    007.697
008.218    009.414    008.816
009.414    010.780    010.097
010.780    012.350    011.565
012.350    014.142    013.246
014.142    016.202    015.172
016.202    018.552    017.377
018.552    021.256    019.904
021.256    024.338    022.797
024.338    027.884    026.111
027.884    031.930    029.907
031.930    036.580    034.255
036.580    041.888    039.234
041.888    047.988    044.938
047.988    054.954    051.471
054.954    062.952    058.953
062.952    072.094    067.523
072.094    082.586    077.340
082.586    094.580    088.583
094.580    108.340    101.460
108.340    124.080    116.210
124.080    142.126    133.103
142.126    162.780    152.453
162.780    186.452    174.616
186.452    213.548    200.000
213.548    244.602    229.075
244.602    280.150    262.376
280.150    320.886    300.518
320.886    367.526    344.206
367.526    420.962    394.244
420.962    482.150    451.556
482.150    552.250    517.200
